iTOW,gDOP,pDOP,tDOP,vDOP,hDOP,nDOP,eDOP
93890000,3.77,3.01,2.26,2.61,1.51,0.75,1.31
93891000,3.73,2.97,2.26,2.59,1.47,0.74,1.26
93892000,3.73,2.97,2.26,2.59,1.47,0.74,1.26
93893000,3.73,2.97,2.26,2.59,1.47,0.74,1.26
93894000,3.73,2.97,2.26,2.59,1.47,0.74,1.26
93895000,3.73,2.97,2.26,2.59,1.47,0.74,1.26
93896000,3.73,2.97,2.26,2.58,1.47,0.74,1.26
93897000,3.73,2.97,2.26,2.58,1.47,0.74,1.26
93898000,3.63,2.89,2.2,2.51,1.44,0.74,1.23
93899000,3.63,2.89,2.2,2.51,1.44,0.74,1.23
93900000,3.63,2.89,2.2,2.51,1.44,0.74,1.23
93901000,3.63,2.89,2.2,2.51,1.44,0.74,1.23
93902000,3.63,2.89,2.2,2.5,1.44,0.74,1.23
93903000,3.28,2.61,1.99,2.24,1.33,0.7,1.13
93904000,3.28,2.61,1.99,2.24,1.33,0.7,1.13
93905000,3.28,2.61,1.99,2.24,1.33,0.7,1.13
93906000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93907000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93908000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93909000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93910000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93911000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93912000,3.07,2.45,1.84,2.07,1.31,0.69,1.12
93913000,3.07,2.45,1.84,2.07,1.31,0.69,1.12
93914000,3.07,2.45,1.84,2.07,1.31,0.69,1.12
93915000,3.07,2.45,1.84,2.07,1.31,0.69,1.12
93916000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93917000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93918000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93919000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93920000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93921000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93922000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93923000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93924000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93925000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93926000,3.06,2.45,1.84,2.06,1.31,0.69,1.11
93927000,2.3,1.88,1.33,1.57,1.03,0.68,0.77
93928000,2.3,1.88,1.33,1.57,1.03,0.68,0.77
93929000,2.3,1.88,1.33,1.57,1.03,0.68,0.77
93930000,2.3,1.88,1.33,1.57,1.03,0.68,0.77
93931000,2.3,1.88,1.33,1.57,1.03,0.68,0.77
93932000,2.3,1.88,1.33,1.57,1.03,0.68,0.77
93933000,2.3,1.88,1.33,1.57,1.03,0.68,0.77
93934000,2.3,1.88,1.33,1.57,1.03,0.68,0.77
93935000,2.3,1.88,1.33,1.57,1.03,0.68,0.77
93936000,2.17,1.78,1.24,1.51,0.94,0.58,0.75
93937000,2.16,1.78,1.24,1.51,0.94,0.58,0.75
93938000,2.16,1.78,1.23,1.51,0.94,0.58,0.75
93939000,2.16,1.78,1.23,1.51,0.94,0.58,0.75
93940000,2.16,1.78,1.23,1.51,0.94,0.58,0.75
93941000,2.16,1.78,1.23,1.51,0.94,0.58,0.75
93942000,2.16,1.78,1.23,1.51,0.94,0.58,0.75
93943000,2.16,1.78,1.23,1.51,0.94,0.58,0.75
93944000,2.16,1.78,1.23,1.51,0.94,0.58,0.75
93945000,2.16,1.78,1.23,1.51,0.94,0.58,0.75
93946000,2.16,1.78,1.23,1.51,0.94,0.58,0.74
93947000,2.16,1.78,1.23,1.51,0.94,0.58,0.74
93948000,2.16,1.78,1.23,1.51,0.94,0.58,0.74
93949000,2.16,1.78,1.23,1.51,0.94,0.58,0.74
93950000,2.16,1.78,1.23,1.5,0.94,0.58,0.74
93951000,2.15,1.76,1.23,1.5,0.92,0.57,0.72
93952000,2.15,1.76,1.23,1.5,0.92,0.57,0.72
93953000,2.15,1.76,1.23,1.5,0.92,0.57,0.72
93954000,2.15,1.76,1.23,1.5,0.92,0.57,0.72
93955000,2.03,1.68,1.15,1.42,0.89,0.53,0.72
93956000,2.03,1.68,1.15,1.42,0.89,0.53,0.72
93957000,2.03,1.68,1.15,1.42,0.89,0.53,0.72
93958000,2.03,1.68,1.15,1.42,0.89,0.53,0.72
93959000,2.03,1.68,1.15,1.42,0.89,0.53,0.72
93960000,2.03,1.68,1.15,1.42,0.89,0.53,0.72
93961000,2.03,1.67,1.15,1.42,0.89,0.53,0.72
93962000,2.03,1.67,1.15,1.42,0.89,0.53,0.72
93963000,1.94,1.6,1.1,1.34,0.87,0.52,0.7
93964000,1.94,1.6,1.1,1.34,0.87,0.52,0.7
93965000,1.94,1.6,1.1,1.34,0.87,0.52,0.7
93966000,1.94,1.6,1.1,1.34,0.87,0.52,0.7
93967000,1.94,1.6,1.1,1.34,0.87,0.52,0.7
93968000,1.94,1.6,1.1,1.34,0.87,0.52,0.7
93969000,1.94,1.6,1.1,1.34,0.87,0.52,0.7
93970000,2.06,1.68,1.18,1.42,0.9,0.57,0.7
93971000,2.06,1.68,1.18,1.42,0.9,0.57,0.7
93972000,2.06,1.68,1.18,1.42,0.9,0.57,0.7
93973000,2.17,1.78,1.24,1.51,0.94,0.59,0.73
93974000,2.06,1.68,1.18,1.42,0.9,0.57,0.7
93975000,2.06,1.68,1.18,1.42,0.9,0.57,0.7
93976000,2.06,1.68,1.18,1.42,0.9,0.57,0.7
93977000,2.06,1.68,1.18,1.42,0.9,0.57,0.7
93978000,2.06,1.68,1.18,1.42,0.9,0.57,0.7
93979000,2.05,1.68,1.18,1.42,0.9,0.57,0.7
93980000,2.05,1.68,1.18,1.42,0.9,0.57,0.7
93981000,2.05,1.68,1.18,1.42,0.9,0.57,0.7
93982000,2.26,1.84,1.32,1.56,0.97,0.67,0.7
93983000,2.26,1.84,1.32,1.56,0.97,0.67,0.7
93984000,2.26,1.84,1.32,1.56,0.97,0.67,0.7
93985000,2.26,1.84,1.32,1.56,0.97,0.67,0.7
93986000,2.26,1.84,1.32,1.56,0.97,0.67,0.7
93987000,1.6,1.34,0.87,1.14,0.7,0.46,0.52
93988000,1.56,1.31,0.85,1.13,0.66,0.45,0.49
93989000,1.56,1.31,0.85,1.13,0.66,0.45,0.49
93990000,1.56,1.31,0.85,1.13,0.66,0.45,0.49
93991000,1.56,1.31,0.85,1.13,0.66,0.45,0.49
93992000,1.56,1.31,0.85,1.13,0.66,0.45,0.49
93993000,1.56,1.31,0.85,1.13,0.66,0.45,0.49
93994000,1.56,1.31,0.85,1.13,0.66,0.45,0.49
93995000,1.56,1.31,0.85,1.13,0.66,0.45,0.49
93996000,1.56,1.31,0.85,1.13,0.66,0.45,0.49
93997000,1.49,1.25,0.8,1.09,0.62,0.41,0.47
93998000,1.49,1.25,0.8,1.09,0.62,0.41,0.47
93999000,1.49,1.25,0.8,1.09,0.62,0.41,0.47
94000000,1.49,1.25,0.8,1.09,0.62,0.41,0.47
94001000,1.49,1.25,0.8,1.09,0.62,0.41,0.47
94002000,1.49,1.25,0.8,1.09,0.62,0.41,0.47
94003000,1.62,1.36,0.88,1.17,0.68,0.42,0.53
94004000,1.62,1.36,0.88,1.18,0.68,0.42,0.53
94005000,1.62,1.36,0.88,1.18,0.68,0.42,0.53
94006000,1.62,1.36,0.88,1.18,0.68,0.42,0.53
94007000,1.53,1.29,0.83,1.12,0.64,0.39,0.5
94008000,1.53,1.29,0.83,1.12,0.64,0.39,0.5
94009000,1.58,1.33,0.86,1.15,0.66,0.41,0.52
94010000,1.58,1.33,0.86,1.15,0.66,0.41,0.52
94011000,1.5,1.26,0.81,1.1,0.62,0.38,0.48
94012000,1.5,1.27,0.81,1.1,0.62,0.39,0.49
94013000,1.47,1.24,0.78,1.08,0.62,0.38,0.49
94014000,1.47,1.24,0.78,1.08,0.62,0.38,0.49
94015000,1.47,1.24,0.78,1.08,0.62,0.38,0.49
94016000,1.47,1.24,0.78,1.08,0.61,0.37,0.48
94017000,1.47,1.24,0.78,1.08,0.62,0.38,0.49
94018000,1.38,1.17,0.73,1.02,0.57,0.38,0.43
94019000,1.38,1.17,0.73,1.02,0.57,0.38,0.43
94020000,1.33,1.13,0.7,0.99,0.55,0.36,0.41
94021000,1.33,1.13,0.7,0.99,0.55,0.36,0.41
94022000,1.33,1.13,0.7,0.99,0.55,0.36,0.41
94023000,1.32,1.13,0.69,0.99,0.54,0.35,0.41
94024000,1.35,1.15,0.71,1.0,0.56,0.35,0.44
94025000,1.35,1.15,0.71,1.0,0.56,0.35,0.44
94026000,1.35,1.15,0.71,1.0,0.56,0.35,0.44
94027000,1.35,1.15,0.71,1.0,0.56,0.35,0.44
94028000,1.41,1.19,0.74,1.03,0.6,0.37,0.47
94029000,1.41,1.19,0.74,1.03,0.6,0.37,0.47
94030000,1.41,1.19,0.74,1.03,0.6,0.37,0.47
94031000,1.41,1.19,0.74,1.03,0.6,0.37,0.47
94032000,1.44,1.22,0.76,1.04,0.64,0.38,0.51
94033000,1.44,1.22,0.76,1.04,0.64,0.38,0.51
94034000,1.44,1.22,0.76,1.04,0.64,0.38,0.51
94035000,1.38,1.17,0.73,1.01,0.59,0.37,0.46
94036000,1.37,1.16,0.72,1.0,0.59,0.36,0.46
94037000,1.37,1.16,0.72,1.0,0.59,0.36,0.46
94038000,1.33,1.14,0.7,0.99,0.56,0.36,0.43
94039000,1.37,1.16,0.72,1.0,0.59,0.36,0.46
94040000,1.41,1.2,0.75,1.03,0.61,0.36,0.49
94041000,1.33,1.14,0.7,0.99,0.56,0.36,0.43
94042000,1.37,1.16,0.72,1.0,0.59,0.36,0.46
94043000,1.37,1.16,0.72,1.0,0.59,0.36,0.46
