iTOW,SOW,fSOW,week,leapS,sowValid,weekValid,leapSValid,tAcc
93890000,93876,363323,1034,4,1,1,1,29
93891000,93877,362979,1034,4,1,1,1,29
93892000,93878,362635,1034,4,1,1,1,28
93893000,93879,362292,1034,4,1,1,1,27
93894000,93880,361949,1034,4,1,1,1,26
93895000,93881,361605,1034,4,1,1,1,26
93896000,93882,361262,1034,4,1,1,1,25
93897000,93883,360919,1034,4,1,1,1,25
93898000,93884,360576,1034,4,1,1,1,25
93899000,93885,360233,1034,4,1,1,1,25
93900000,93886,359890,1034,4,1,1,1,25
93901000,93887,359548,1034,4,1,1,1,25
93902000,93888,359204,1034,4,1,1,1,24
93903000,93889,358860,1034,4,1,1,1,24
93904000,93890,358518,1034,4,1,1,1,23
93905000,93891,358175,1034,4,1,1,1,23
93906000,93892,357833,1034,4,1,1,1,22
93907000,93893,357489,1034,4,1,1,1,22
93908000,93894,357146,1034,4,1,1,1,21
93909000,93895,356804,1034,4,1,1,1,21
93910000,93896,356462,1034,4,1,1,1,20
93911000,93897,356121,1034,4,1,1,1,20
93912000,93898,355779,1034,4,1,1,1,20
93913000,93899,355438,1034,4,1,1,1,20
93914000,93900,355096,1034,4,1,1,1,19
93915000,93901,354755,1034,4,1,1,1,19
93916000,93902,354413,1034,4,1,1,1,19
93917000,93903,354071,1034,4,1,1,1,19
93918000,93904,353729,1034,4,1,1,1,18
93919000,93905,353386,1034,4,1,1,1,18
93920000,93906,353044,1034,4,1,1,1,18
93921000,93907,352701,1034,4,1,1,1,18
93922000,93908,352359,1034,4,1,1,1,18
93923000,93909,352017,1034,4,1,1,1,18
93924000,93910,351675,1034,4,1,1,1,18
93925000,93911,351333,1034,4,1,1,1,18
93926000,93912,350991,1034,4,1,1,1,18
93927000,93913,350649,1034,4,1,1,1,18
93928000,93914,350307,1034,4,1,1,1,17
93929000,93915,349966,1034,4,1,1,1,17
93930000,93916,349625,1034,4,1,1,1,17
93931000,93917,349285,1034,4,1,1,1,17
93932000,93918,348945,1034,4,1,1,1,17
93933000,93919,348605,1034,4,1,1,1,17
93934000,93920,348266,1034,4,1,1,1,17
93935000,93921,347926,1034,4,1,1,1,16
93936000,93922,347586,1034,4,1,1,1,16
93937000,93923,347247,1034,4,1,1,1,15
93938000,93924,346908,1034,4,1,1,1,15
93939000,93925,346570,1034,4,1,1,1,15
93940000,93926,346232,1034,4,1,1,1,15
93941000,93927,345893,1034,4,1,1,1,15
93942000,93928,345554,1034,4,1,1,1,14
93943000,93929,345215,1034,4,1,1,1,14
93944000,93930,344876,1034,4,1,1,1,14
93945000,93931,344537,1034,4,1,1,1,14
93946000,93932,344198,1034,4,1,1,1,13
93947000,93933,343859,1034,4,1,1,1,13
93948000,93934,343520,1034,4,1,1,1,13
93949000,93935,343181,1034,4,1,1,1,13
93950000,93936,342843,1034,4,1,1,1,13
93951000,93937,342504,1034,4,1,1,1,13
93952000,93938,342166,1034,4,1,1,1,12
93953000,93939,341827,1034,4,1,1,1,12
93954000,93940,341489,1034,4,1,1,1,12
93955000,93941,341150,1034,4,1,1,1,12
93956000,93942,340811,1034,4,1,1,1,12
93957000,93943,340471,1034,4,1,1,1,12
93958000,93944,340133,1034,4,1,1,1,12
93959000,93945,339795,1034,4,1,1,1,12
93960000,93946,339457,1034,4,1,1,1,12
93961000,93947,339120,1034,4,1,1,1,12
93962000,93948,338782,1034,4,1,1,1,11
93963000,93949,338445,1034,4,1,1,1,11
93964000,93950,338106,1034,4,1,1,1,11
93965000,93951,337768,1034,4,1,1,1,11
93966000,93952,337431,1034,4,1,1,1,11
93967000,93953,337095,1034,4,1,1,1,11
93968000,93954,336759,1034,4,1,1,1,11
93969000,93955,336424,1034,4,1,1,1,11
93970000,93956,336088,1034,4,1,1,1,11
93971000,93957,335752,1034,4,1,1,1,11
93972000,93958,335417,1034,4,1,1,1,11
93973000,93959,335081,1034,4,1,1,1,10
93974000,93960,334747,1034,4,1,1,1,10
93975000,93961,334412,1034,4,1,1,1,10
93976000,93962,334078,1034,4,1,1,1,10
93977000,93963,333745,1034,4,1,1,1,10
93978000,93964,333411,1034,4,1,1,1,10
93979000,93965,333077,1034,4,1,1,1,10
93980000,93966,332744,1034,4,1,1,1,10
93981000,93967,332411,1034,4,1,1,1,10
93982000,93968,332079,1034,4,1,1,1,10
93983000,93969,331748,1034,4,1,1,1,10
93984000,93970,331416,1034,4,1,1,1,10
93985000,93971,331085,1034,4,1,1,1,10
93986000,93972,330753,1034,4,1,1,1,10
93987000,93973,330421,1034,4,1,1,1,10
93988000,93974,330089,1034,4,1,1,1,9
93989000,93975,329757,1034,4,1,1,1,9
93990000,93976,329425,1034,4,1,1,1,9
93991000,93977,329093,1034,4,1,1,1,9
93992000,93978,328761,1034,4,1,1,1,8
93993000,93979,328428,1034,4,1,1,1,8
93994000,93980,328097,1034,4,1,1,1,8
93995000,93981,327764,1034,4,1,1,1,8
93996000,93982,327430,1034,4,1,1,1,8
93997000,93983,327096,1034,4,1,1,1,7
93998000,93984,326761,1034,4,1,1,1,7
93999000,93985,326426,1034,4,1,1,1,7
94000000,93986,326091,1034,4,1,1,1,7
94001000,93987,325756,1034,4,1,1,1,6
94002000,93988,325422,1034,4,1,1,1,6
94003000,93989,325088,1034,4,1,1,1,6
94004000,93990,324754,1034,4,1,1,1,6
94005000,93991,324420,1034,4,1,1,1,6
94006000,93992,324085,1034,4,1,1,1,6
94007000,93993,323751,1034,4,1,1,1,6
94008000,93994,323416,1034,4,1,1,1,6
94009000,93995,323081,1034,4,1,1,1,6
94010000,93996,322747,1034,4,1,1,1,6
94011000,93997,322412,1034,4,1,1,1,6
94012000,93998,322078,1034,4,1,1,1,6
94013000,93999,321745,1034,4,1,1,1,6
94014000,94000,321412,1034,4,1,1,1,6
94015000,94001,321078,1034,4,1,1,1,5
94016000,94002,320744,1034,4,1,1,1,5
94017000,94003,320410,1034,4,1,1,1,5
94018000,94004,320077,1034,4,1,1,1,5
94019000,94005,319743,1034,4,1,1,1,5
94020000,94006,319409,1034,4,1,1,1,5
94021000,94007,319075,1034,4,1,1,1,5
94022000,94008,318742,1034,4,1,1,1,5
94023000,94009,318409,1034,4,1,1,1,5
94024000,94010,318076,1034,4,1,1,1,5
94025000,94011,317743,1034,4,1,1,1,5
94026000,94012,317410,1034,4,1,1,1,5
94027000,94013,317078,1034,4,1,1,1,5
94028000,94014,316745,1034,4,1,1,1,5
94029000,94015,316411,1034,4,1,1,1,5
94030000,94016,316077,1034,4,1,1,1,5
94031000,94017,315743,1034,4,1,1,1,6
94032000,94018,315410,1034,4,1,1,1,6
94033000,94019,315076,1034,4,1,1,1,6
94034000,94020,314742,1034,4,1,1,1,6
94035000,94021,314409,1034,4,1,1,1,6
94036000,94022,314076,1034,4,1,1,1,6
94037000,94023,313744,1034,4,1,1,1,6
94038000,94024,313411,1034,4,1,1,1,6
94039000,94025,313079,1034,4,1,1,1,6
94040000,94026,312747,1034,4,1,1,1,6
94041000,94027,312416,1034,4,1,1,1,6
94042000,94028,312084,1034,4,1,1,1,6
94043000,94029,311751,1034,4,1,1,1,6
