iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,authStatus,utcStandard
93890000,1021,363341,2025,10,27,2,4,32,1,1,1,0,15
93891000,1021,362998,2025,10,27,2,4,33,1,1,1,0,15
93892000,1020,362654,2025,10,27,2,4,34,1,1,1,0,15
93893000,1020,362311,2025,10,27,2,4,35,1,1,1,0,15
93894000,1020,361968,2025,10,27,2,4,36,1,1,1,0,15
93895000,1019,361624,2025,10,27,2,4,37,1,1,1,0,15
93896000,1019,361281,2025,10,27,2,4,38,1,1,1,0,15
93897000,1019,360938,2025,10,27,2,4,39,1,1,1,0,15
93898000,1019,360594,2025,10,27,2,4,40,1,1,1,0,15
93899000,1019,360251,2025,10,27,2,4,41,1,1,1,0,15
93900000,1019,359908,2025,10,27,2,4,42,1,1,1,0,15
93901000,1019,359566,2025,10,27,2,4,43,1,1,1,0,15
93902000,1018,359222,2025,10,27,2,4,44,1,1,1,0,15
93903000,1018,358879,2025,10,27,2,4,45,1,1,1,0,15
93904000,1018,358537,2025,10,27,2,4,46,1,1,1,0,15
93905000,1017,358194,2025,10,27,2,4,47,1,1,1,0,15
93906000,1017,357852,2025,10,27,2,4,48,1,1,1,0,15
93907000,1017,357507,2025,10,27,2,4,49,1,1,1,0,15
93908000,1016,357165,2025,10,27,2,4,50,1,1,1,0,15
93909000,1016,356823,2025,10,27,2,4,51,1,1,1,0,15
93910000,1016,356480,2025,10,27,2,4,52,1,1,1,0,15
93911000,1015,356139,2025,10,27,2,4,53,1,1,1,0,15
93912000,1015,355797,2025,10,27,2,4,54,1,1,1,0,15
93913000,1015,355456,2025,10,27,2,4,55,1,1,1,0,15
93914000,1015,355114,2025,10,27,2,4,56,1,1,1,0,15
93915000,1015,354772,2025,10,27,2,4,57,1,1,1,0,15
93916000,1014,354430,2025,10,27,2,4,58,1,1,1,0,15
93917000,1014,354088,2025,10,27,2,4,59,1,1,1,0,15
93918000,1014,353746,2025,10,27,2,5,0,1,1,1,0,15
93919000,1014,353403,2025,10,27,2,5,1,1,1,1,0,15
93920000,1014,353061,2025,10,27,2,5,2,1,1,1,0,15
93921000,1014,352718,2025,10,27,2,5,3,1,1,1,0,15
93922000,1014,352375,2025,10,27,2,5,4,1,1,1,0,15
93923000,1014,352033,2025,10,27,2,5,5,1,1,1,0,15
93924000,1014,351691,2025,10,27,2,5,6,1,1,1,0,15
93925000,1014,351349,2025,10,27,2,5,7,1,1,1,0,15
93926000,1014,351007,2025,10,27,2,5,8,1,1,1,0,15
93927000,1014,350665,2025,10,27,2,5,9,1,1,1,0,15
93928000,1014,350323,2025,10,27,2,5,10,1,1,1,0,15
93929000,1013,349982,2025,10,27,2,5,11,1,1,1,0,15
93930000,1013,349641,2025,10,27,2,5,12,1,1,1,0,15
93931000,1013,349301,2025,10,27,2,5,13,1,1,1,0,15
93932000,1013,348961,2025,10,27,2,5,14,1,1,1,0,15
93933000,1013,348620,2025,10,27,2,5,15,1,1,1,0,15
93934000,1013,348281,2025,10,27,2,5,16,1,1,1,0,15
93935000,1013,347941,2025,10,27,2,5,17,1,1,1,0,15
93936000,1012,347601,2025,10,27,2,5,18,1,1,1,0,15
93937000,1012,347262,2025,10,27,2,5,19,1,1,1,0,15
93938000,1012,346923,2025,10,27,2,5,20,1,1,1,0,15
93939000,1011,346585,2025,10,27,2,5,21,1,1,1,0,15
93940000,1011,346246,2025,10,27,2,5,22,1,1,1,0,15
93941000,1011,345907,2025,10,27,2,5,23,1,1,1,0,15
93942000,1011,345568,2025,10,27,2,5,24,1,1,1,0,15
93943000,1011,345230,2025,10,27,2,5,25,1,1,1,0,15
93944000,1010,344891,2025,10,27,2,5,26,1,1,1,0,15
93945000,1010,344551,2025,10,27,2,5,27,1,1,1,0,15
93946000,1010,344212,2025,10,27,2,5,28,1,1,1,0,15
93947000,1010,343873,2025,10,27,2,5,29,1,1,1,0,15
93948000,1010,343534,2025,10,27,2,5,30,1,1,1,0,15
93949000,1010,343196,2025,10,27,2,5,31,1,1,1,0,15
93950000,1010,342857,2025,10,27,2,5,32,1,1,1,0,15
93951000,1009,342518,2025,10,27,2,5,33,1,1,1,0,15
93952000,1009,342180,2025,10,27,2,5,34,1,1,1,0,15
93953000,1009,341841,2025,10,27,2,5,35,1,1,1,0,15
93954000,1009,341503,2025,10,27,2,5,36,1,1,1,0,15
93955000,1009,341164,2025,10,27,2,5,37,1,1,1,0,15
93956000,1009,340824,2025,10,27,2,5,38,1,1,1,0,15
93957000,1009,340485,2025,10,27,2,5,39,1,1,1,0,15
93958000,1009,340147,2025,10,27,2,5,40,1,1,1,0,15
93959000,1009,339809,2025,10,27,2,5,41,1,1,1,0,15
93960000,1009,339471,2025,10,27,2,5,42,1,1,1,0,15
93961000,1009,339133,2025,10,27,2,5,43,1,1,1,0,15
93962000,1009,338796,2025,10,27,2,5,44,1,1,1,0,15
93963000,1008,338458,2025,10,27,2,5,45,1,1,1,0,15
93964000,1008,338120,2025,10,27,2,5,46,1,1,1,0,15
93965000,1008,337781,2025,10,27,2,5,47,1,1,1,0,15
93966000,1008,337444,2025,10,27,2,5,48,1,1,1,0,15
93967000,1008,337107,2025,10,27,2,5,49,1,1,1,0,15
93968000,1008,336772,2025,10,27,2,5,50,1,1,1,0,15
93969000,1008,336436,2025,10,27,2,5,51,1,1,1,0,15
93970000,1008,336101,2025,10,27,2,5,52,1,1,1,0,15
93971000,1008,335765,2025,10,27,2,5,53,1,1,1,0,15
93972000,1008,335429,2025,10,27,2,5,54,1,1,1,0,15
93973000,1008,335094,2025,10,27,2,5,55,1,1,1,0,15
93974000,1008,334759,2025,10,27,2,5,56,1,1,1,0,15
93975000,1008,334425,2025,10,27,2,5,57,1,1,1,0,15
93976000,1008,334091,2025,10,27,2,5,58,1,1,1,0,15
93977000,1008,333757,2025,10,27,2,5,59,1,1,1,0,15
93978000,1008,333423,2025,10,27,2,6,0,1,1,1,0,15
93979000,1008,333089,2025,10,27,2,6,1,1,1,1,0,15
93980000,1008,332755,2025,10,27,2,6,2,1,1,1,0,15
93981000,1008,332422,2025,10,27,2,6,3,1,1,1,0,15
93982000,1008,332089,2025,10,27,2,6,4,1,1,1,0,15
93983000,1008,331758,2025,10,27,2,6,5,1,1,1,0,15
93984000,1008,331426,2025,10,27,2,6,6,1,1,1,0,15
93985000,1008,331095,2025,10,27,2,6,7,1,1,1,0,15
93986000,1008,330763,2025,10,27,2,6,8,1,1,1,0,15
93987000,1007,330431,2025,10,27,2,6,9,1,1,1,0,15
93988000,1007,330098,2025,10,27,2,6,10,1,1,1,0,15
93989000,1007,329766,2025,10,27,2,6,11,1,1,1,0,15
93990000,1007,329434,2025,10,27,2,6,12,1,1,1,0,15
93991000,1006,329102,2025,10,27,2,6,13,1,1,1,0,15
93992000,1006,328770,2025,10,27,2,6,14,1,1,1,0,15
93993000,1006,328437,2025,10,27,2,6,15,1,1,1,0,15
93994000,1006,328106,2025,10,27,2,6,16,1,1,1,0,15
93995000,1006,327773,2025,10,27,2,6,17,1,1,1,0,15
93996000,1006,327439,2025,10,27,2,6,18,1,1,1,0,15
93997000,1005,327105,2025,10,27,2,6,19,1,1,1,0,15
93998000,1005,326770,2025,10,27,2,6,20,1,1,1,0,15
93999000,1005,326434,2025,10,27,2,6,21,1,1,1,0,15
94000000,1005,326099,2025,10,27,2,6,22,1,1,1,0,15
94001000,1005,325764,2025,10,27,2,6,23,1,1,1,0,15
94002000,1005,325430,2025,10,27,2,6,24,1,1,1,0,15
94003000,1004,325096,2025,10,27,2,6,25,1,1,1,0,15
94004000,1004,324762,2025,10,27,2,6,26,1,1,1,0,15
94005000,1004,324428,2025,10,27,2,6,27,1,1,1,0,15
94006000,1004,324093,2025,10,27,2,6,28,1,1,1,0,15
94007000,1004,323758,2025,10,27,2,6,29,1,1,1,0,15
94008000,1004,323424,2025,10,27,2,6,30,1,1,1,0,15
94009000,1004,323089,2025,10,27,2,6,31,1,1,1,0,15
94010000,1004,322754,2025,10,27,2,6,32,1,1,1,0,15
94011000,1004,322420,2025,10,27,2,6,33,1,1,1,0,15
94012000,1004,322086,2025,10,27,2,6,34,1,1,1,0,15
94013000,1004,321753,2025,10,27,2,6,35,1,1,1,0,15
94014000,1004,321419,2025,10,27,2,6,36,1,1,1,0,15
94015000,1004,321085,2025,10,27,2,6,37,1,1,1,0,15
94016000,1004,320752,2025,10,27,2,6,38,1,1,1,0,15
94017000,1004,320418,2025,10,27,2,6,39,1,1,1,0,15
94018000,1004,320085,2025,10,27,2,6,40,1,1,1,0,15
94019000,1004,319751,2025,10,27,2,6,41,1,1,1,0,15
94020000,1004,319417,2025,10,27,2,6,42,1,1,1,0,15
94021000,1004,319083,2025,10,27,2,6,43,1,1,1,0,15
94022000,1004,318750,2025,10,27,2,6,44,1,1,1,0,15
94023000,1004,318417,2025,10,27,2,6,45,1,1,1,0,15
94024000,1004,318084,2025,10,27,2,6,46,1,1,1,0,15
94025000,1004,317751,2025,10,27,2,6,47,1,1,1,0,15
94026000,1004,317418,2025,10,27,2,6,48,1,1,1,0,15
94027000,1004,317085,2025,10,27,2,6,49,1,1,1,0,15
94028000,1004,316752,2025,10,27,2,6,50,1,1,1,0,15
94029000,1004,316418,2025,10,27,2,6,51,1,1,1,0,15
94030000,1004,316085,2025,10,27,2,6,52,1,1,1,0,15
94031000,1004,315751,2025,10,27,2,6,53,1,1,1,0,15
94032000,1004,315417,2025,10,27,2,6,54,1,1,1,0,15
94033000,1004,315084,2025,10,27,2,6,55,1,1,1,0,15
94034000,1004,314750,2025,10,27,2,6,56,1,1,1,0,15
94035000,1004,314417,2025,10,27,2,6,57,1,1,1,0,15
94036000,1004,314084,2025,10,27,2,6,58,1,1,1,0,15
94037000,1004,313752,2025,10,27,2,6,59,1,1,1,0,15
94038000,1004,313419,2025,10,27,2,7,0,1,1,1,0,15
94039000,1004,313087,2025,10,27,2,7,1,1,1,1,0,15
94040000,1004,312755,2025,10,27,2,7,2,1,1,1,0,15
94041000,1004,312424,2025,10,27,2,7,3,1,1,1,0,15
94042000,1004,312092,2025,10,27,2,7,4,1,1,1,0,15
94043000,1004,311759,2025,10,27,2,7,5,1,1,1,0,15
