iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
93890000,0,0,-3,3,0,0.0,30,180.0
93891000,-1,1,-1,1,1,0.0,31,180.0
93892000,1,0,1,1,1,0.0,26,180.0
93893000,0,0,0,0,0,0.0,17,180.0
93894000,0,1,-2,2,1,0.0,33,180.0
93895000,-1,1,-4,4,1,0.0,35,180.0
93896000,0,0,-4,4,1,0.0,34,180.0
93897000,1,-4,5,7,5,0.0,40,180.0
93898000,-3,-4,-1,5,5,0.0,30,180.0
93899000,-7,1,-10,12,7,0.0,37,180.0
93900000,-5,10,-16,20,11,0.0,40,94.16708
93901000,8,4,3,10,9,0.0,21,148.90204
93902000,-1,3,3,4,3,0.0,18,180.0
93903000,-10,34,-24,42,35,106.97134,29,22.07289
93904000,3,-27,12,30,27,276.83684,30,41.66796
93905000,1,-4,0,5,5,141.89494,19,166.32896
93906000,-4,3,-6,7,5,141.89494,28,180.0
93907000,-7,36,-44,57,37,100.26844,32,24.79294
93908000,-6,5,-17,19,8,111.10942,24,90.00522
93909000,-1,3,-5,6,3,111.10942,26,180.0
93910000,3,9,-10,14,10,111.10942,27,78.7894
93911000,-2,2,-6,7,3,111.10942,29,180.0
93912000,-2,10,-6,12,11,111.10942,30,84.77814
93913000,-6,1,-11,13,6,111.10942,29,180.0
93914000,3,-2,5,6,4,111.10942,28,180.0
93915000,-4,0,10,10,4,111.10942,24,180.0
93916000,1,-8,18,19,8,111.10942,32,111.47958
93917000,1,6,-2,7,6,111.10942,29,138.21326
93918000,0,-1,1,2,1,111.10942,31,180.0
93919000,2,-5,8,10,6,111.10942,33,168.38996
93920000,4,-6,13,15,7,111.10942,33,148.4597
93921000,2,-4,12,13,4,111.10942,33,180.0
93922000,-3,5,-7,9,6,111.10942,32,176.2415
93923000,-4,3,-11,12,5,111.10942,33,180.0
93924000,1,-2,0,3,3,111.10942,23,180.0
93925000,0,0,2,2,0,111.10942,27,180.0
93926000,7,9,-23,25,11,111.10942,33,112.62668
93927000,-5,-8,-8,12,9,111.10942,27,131.66496
93928000,0,2,-23,23,2,111.10942,34,180.0
93929000,-6,3,-3,7,7,111.10942,27,180.0
93930000,-4,7,-11,14,8,111.10942,33,115.36974
93931000,0,1,-11,11,1,111.10942,28,180.0
93932000,-7,5,-2,9,8,111.10942,22,111.09488
93933000,-2,5,-4,7,6,111.10942,29,178.84576
93934000,-5,3,-14,16,6,111.10942,30,180.0
93935000,9,-7,-19,22,12,111.10942,20,70.43768
93936000,-7,6,-23,25,9,111.10942,23,66.0648
93937000,0,-1,-16,16,1,111.10942,24,180.0
93938000,-10,-1,-5,11,10,111.10942,17,84.83424
93939000,-4,-1,-21,21,4,111.10942,26,180.0
93940000,-7,-2,-30,31,7,111.10942,28,154.96222
93941000,24,-18,-17,35,30,322.99842,18,28.94282
93942000,3,-24,0,24,24,276.5454,12,25.49706
93943000,-5,-31,-6,32,32,260.4476,13,21.4841
93944000,-30,-52,4,60,60,239.93046,9,11.41232
93945000,-23,-60,-7,65,65,248.762,10,10.713
93946000,-25,-25,-6,35,35,224.82242,11,21.44187
93947000,-16,-39,-3,43,43,247.38722,10,15.60339
93948000,2,-3,2,4,4,246.44136,18,148.66212
93949000,4,-1,-3,5,4,246.44136,13,166.68226
93950000,2,-1,1,2,2,246.44136,20,180.0
93951000,2,3,5,6,3,246.44136,19,180.0
93952000,-7,-25,3,26,25,254.01826,10,28.80327
93953000,-15,-42,-2,45,45,250.30374,9,15.39739
93954000,-46,-50,-2,68,68,227.25782,10,12.07648
93955000,-46,-31,10,56,55,213.62944,9,14.32271
93956000,-32,-41,38,65,52,231.85154,12,15.00501
93957000,-16,-22,7,28,27,234.01816,8,30.02559
93958000,-29,-31,-3,42,42,226.67428,10,19.71993
93959000,-58,-49,3,76,76,219.83958,10,11.82499
93960000,-46,-23,2,52,52,206.5429,11,18.92632
93961000,-51,0,3,51,51,179.73914,10,16.51211
93962000,-73,10,-3,74,74,172.5866,13,11.77221
93963000,-88,9,-10,89,89,174.25084,13,9.86289
93964000,-70,71,-7,100,100,134.64856,11,4.42686
93965000,-71,72,-4,101,101,134.52234,15,5.60282
93966000,-69,64,-20,97,94,137.20532,18,7.11459
93967000,-55,70,-6,89,89,128.53582,18,7.33708
93968000,-61,69,-4,92,92,131.68874,14,5.45296
93969000,-26,62,-5,68,68,112.39816,21,9.71189
93970000,-28,86,-6,91,90,108.28124,21,7.70513
93971000,-14,84,-2,85,85,99.47684,20,8.21972
93972000,-19,93,-1,95,95,101.44916,18,7.12817
93973000,-13,97,-9,99,98,97.89958,18,6.65904
93974000,-7,87,-3,87,87,94.36646,17,7.86636
93975000,29,76,-11,82,81,69.25839,20,11.65148
93976000,35,97,-4,103,103,70.23811,20,8.88689
93977000,33,85,-6,91,91,68.55313,20,10.45925
93978000,23,89,5,92,92,75.70139,20,9.84701
93979000,22,85,-8,88,88,75.82374,17,9.58432
93980000,40,67,-10,79,78,59.6299,12,9.74674
93981000,40,79,-5,89,88,62.82593,14,9.37933
93982000,34,92,-18,100,98,69.48629,15,8.17981
93983000,16,87,-18,90,88,79.49353,18,8.68815
93984000,33,83,0,90,90,68.15394,19,10.59391
93985000,54,61,-3,81,81,48.60323,16,13.74599
93986000,46,73,9,86,86,57.83001,17,11.73562
93987000,53,79,2,96,96,55.94801,14,7.01475
93988000,49,91,1,103,103,61.64562,10,3.70893
93989000,62,80,6,101,101,52.14444,11,4.40223
93990000,73,58,3,93,93,38.42736,11,6.11401
93991000,84,65,3,106,106,37.4121,12,6.02578
93992000,71,37,3,80,80,27.13717,11,6.81356
93993000,86,29,1,91,91,18.67818,10,6.69178
93994000,99,5,-17,100,99,3.13998,10,7.02152
93995000,109,11,15,111,110,5.64907,10,5.73173
93996000,96,12,18,99,97,7.09297,11,6.16492
93997000,86,22,7,89,88,14.28526,10,6.61517
93998000,94,11,15,96,95,6.69729,9,5.97589
93999000,102,5,19,104,102,2.9517,10,6.42233
94000000,99,10,10,100,100,5.77155,11,6.88428
94001000,103,14,5,104,104,7.49847,10,5.92553
94002000,108,4,13,109,108,2.2816,9,5.47049
94003000,94,22,14,98,97,13.08026,11,7.11175
94004000,94,19,6,96,96,11.29218,9,6.36626
94005000,86,18,7,89,88,11.49125,9,6.07196
94006000,92,22,29,99,95,13.60363,11,5.66821
94007000,102,24,13,105,105,13.49176,10,5.64163
94008000,99,23,19,104,102,12.85764,12,6.30455
94009000,117,-6,12,118,117,356.87716,10,5.63298
94010000,74,-51,-2,90,90,325.70908,8,6.9869
94011000,31,-96,-7,101,101,287.7376,11,6.05735
94012000,-5,-96,-3,96,96,266.94204,10,4.96188
94013000,-48,-78,-9,92,92,238.56734,8,4.53093
94014000,-43,-65,2,78,78,236.6045,9,5.46344
94015000,-42,-79,-10,90,90,241.81846,10,5.37827
94016000,-48,-77,-5,91,91,238.22194,11,5.6072
94017000,-68,-61,-11,92,91,222.10722,11,6.65858
94018000,-63,-76,-2,99,99,230.58184,11,6.54617
94019000,-45,-92,-16,104,102,243.70566,12,5.51838
94020000,-58,-74,-2,95,94,231.9097,8,5.88983
94021000,-58,-71,-20,94,92,230.83532,9,5.94846
94022000,-69,-70,-3,98,98,225.39686,8,5.88716
94023000,-62,-77,-5,99,99,231.09308,8,5.56013
94024000,-44,-89,-1,100,100,243.60026,9,5.44732
94025000,-44,-83,4,94,94,242.16038,9,6.52738
94026000,-59,-56,-7,81,81,223.59796,10,9.02904
94027000,-70,-79,11,106,105,228.57008,9,6.83377
94028000,-62,-76,18,100,98,230.79646,9,7.8416
94029000,-65,-81,10,104,104,231.0421,10,8.8184
94030000,-40,-82,7,92,92,244.06108,10,9.50854
94031000,-66,-51,-11,84,84,217.44646,13,10.56485
94032000,-57,-64,-3,86,86,228.37176,10,10.05429
94033000,-39,-73,-6,83,83,241.71598,10,10.6367
94034000,-49,-72,-1,87,87,235.32728,10,9.66211
94035000,-67,-43,-14,80,79,212.75468,12,10.49126
94036000,-69,-48,-12,85,84,214.96844,13,11.46085
94037000,-75,-16,-4,77,77,192.21276,12,11.00607
94038000,-69,11,5,70,70,170.7822,11,12.79104
94039000,-34,11,3,36,36,162.78402,10,23.2968
94040000,-23,43,25,55,49,117.79692,10,9.87473
94041000,-26,10,44,52,28,158.042,15,20.15568
94042000,1,-6,22,23,6,133.84128,23,108.98052
94043000,-2,-8,4,9,9,133.84128,9,71.54361
